InterviewId	Action	Originator	Role	Date	Time
2df254e3d59744799cd85eb3534020d6	InterviewerAssigned	Interviewer5	Interviewer	08/01/2017	04:48:15
2df254e3d59744799cd85eb3534020d6	FirstAnswerSet	Interviewer5	Interviewer	08/01/2017	04:48:54
2df254e3d59744799cd85eb3534020d6	Completed	Interviewer5	Interviewer	08/01/2017	04:49:29
b1ed92001c5c49df9fea9aea3cd30e5a	InterviewerAssigned	Interviewer4	Interviewer	08/01/2017	05:10:18
0ada78593fda4c8180064b2b1d2124b3	InterviewerAssigned	Interviewer7	Interviewer	08/01/2017	07:31:10
3e8f4b1776354c3093f7b943bdde4d37	InterviewerAssigned	Interviewer3	Interviewer	08/01/2017	07:31:50
8d73084db0b343859f2c3c3830cd4cd2	InterviewerAssigned	Interviewer25	Interviewer	08/01/2017	07:32:18
3e8f4b1776354c3093f7b943bdde4d37	FirstAnswerSet	Interviewer3	Interviewer	08/01/2017	07:32:20
2df254e3d59744799cd85eb3534020d6	SupervisorAssigned	Interviewer5	Interviewer	08/01/2017	07:32:25
e65ecccfd5d74041b3bea65dee112e83	InterviewerAssigned	Interviewer2	Interviewer	08/01/2017	07:32:43
1b92aaa33708452e8687b3afd73d0093	InterviewerAssigned	Interviewer15	Interviewer	08/01/2017	07:32:47
8d73084db0b343859f2c3c3830cd4cd2	FirstAnswerSet	Interviewer25	Interviewer	08/01/2017	07:33:35
d87798a5cca541c48fa02dd18750e4c8	InterviewerAssigned	Interviewer9	Interviewer	08/01/2017	07:33:42
e65ecccfd5d74041b3bea65dee112e83	FirstAnswerSet	Interviewer2	Interviewer	08/01/2017	07:34:11
1b92aaa33708452e8687b3afd73d0093	FirstAnswerSet	Interviewer15	Interviewer	08/01/2017	07:34:12
3e8f4b1776354c3093f7b943bdde4d37	Completed	Interviewer3	Interviewer	08/01/2017	07:34:12
89cc26e1f71648e5b77358446f16e186	InterviewerAssigned	Interviewer24	Interviewer	08/01/2017	07:34:29
d87798a5cca541c48fa02dd18750e4c8	FirstAnswerSet	Interviewer9	Interviewer	08/01/2017	07:34:39
